date,open,high,low,close,volume,dividends,stock splits
1993-11-17,27.98679808852975,27.98679808852975,27.74392200364932,27.818653106689453,39600,0.0,0
1993-11-18,27.781294470122365,27.837342811353277,27.66919778766054,27.743928909301758,240800,0.0,0
1993-11-19,27.65051209813992,27.725243211918677,27.631829319695232,27.687877655029297,106000,0.0,0
1993-11-22,27.613141582356935,27.631824357446487,27.42631383146142,27.51972770690918,165300,0.0,0
1993-11-23,27.66920280456543,27.687885588363248,27.5197405341829,27.66920280456543,89700,0.0,0
1993-11-24,27.743920689873352,27.79996901449936,27.70655514012268,27.781286239624023,77200,0.0,0
1993-11-26,27.856026599484103,27.856026599484103,27.781295475139412,27.799978256225586,1019800,0.0,0
1993-11-29,27.87470543947619,27.930753774810256,27.687877655029297,27.687877655029297,517500,0.0,0
1993-11-30,27.669200292730043,27.837345331646027,27.650517510628266,27.706565856933594,230000,0.0,0
1993-12-01,27.856025591763583,27.874708372173885,27.743928909301758,27.743928909301758,379200,0.0,0
1993-12-02,27.79997033092942,27.837335882449484,27.74392200364932,27.818653106689453,352000,0.0,0
1993-12-03,27.799983751175795,27.930763244628906,27.799983751175795,27.930763244628906,306000,0.0,0
1993-12-06,27.968106353759765,28.06152020263672,27.968106353759765,28.024154663085938,99500,0.0,0
1993-12-07,28.024174039406805,28.042856822099743,27.96812569132799,28.005491256713867,88800,0.0,0
1993-12-08,28.005491256713867,28.005491256713867,27.96812569132799,28.005491256713867,146700,0.0,0
1993-12-09,28.005487034758094,28.04285259451094,27.87470757562313,27.912073135375977,416500,0.0,0
1993-12-10,27.930770204980288,27.930770204980288,27.799990678936904,27.85603904724121,412900,0.0,0
1993-12-13,27.856009735107424,28.024154663085938,27.81864419555664,28.024154663085938,273200,0.0,0
1993-12-14,28.04284641580985,28.04284641580985,27.818653106689453,27.818653106689453,41900,0.0,0
1993-12-15,27.856017339125366,27.874700114000703,27.781286239624023,27.781286239624023,82600,0.0,0
1993-12-16,27.89339286456479,27.89339286456479,27.83734451989386,27.874710083007812,78200,0.0,0
1993-12-17,27.93383783302051,28.04670182426504,27.91502716781309,28.027891159057617,104700,0.317,0
1993-12-20,28.009085419989784,28.084328094052886,27.990274751474008,28.06551742553711,68800,0.0,0
1993-12-21,28.027905718784808,28.027905718784808,27.933852343889555,27.971473693847656,205700,0.0,0
1993-12-22,28.046723780507794,28.178398540040696,27.99029174070798,28.159587860107422,410300,0.0,0
1993-12-23,28.140777587890625,28.197209628508052,28.10315622747901,28.140777587890625,533800,0.0,0
1993-12-27,28.140766752527114,28.29125213623047,28.140766752527114,28.29125213623047,447100,0.0,0
1993-12-28,28.27243645964827,28.366489807817423,28.25362579001444,28.347679138183594,880600,0.0,0
1993-12-29,28.36648487078391,28.385295537143847,28.291242205344165,28.3100528717041,266700,0.0,0
1993-12-30,28.29126180148745,28.29126180148745,28.140776366373156,28.197208404541016,219900,0.0,0
1993-12-31,28.253630274178434,28.29125161941702,28.027902202746915,28.04671287536621,312900,0.0,0
1994-01-03,28.04671639376386,28.084337743721957,27.933852343889555,27.971473693847656,960900,0.0,0
1994-01-04,28.009100242660736,28.08434295654297,27.97147888571962,28.08434295654297,164300,0.0,0
1994-01-05,28.121966907684815,28.159588268096435,28.00910282644996,28.140777587890625,710900,0.0,0
1994-01-06,28.178398948302245,28.197209628508052,28.10315622747901,28.140777587890625,201000,0.0,0
1994-01-07,28.197188873544484,28.328863538064038,28.121946208104738,28.3100528717041,775500,0.0,0
1994-01-10,28.347672846312594,28.648643493652344,28.272430184477656,28.648643493652344,593700,0.0,0
1994-01-11,28.6298397390466,28.6298397390466,28.498165049050982,28.59221839904785,295200,0.0,0
1994-01-12,28.611040640349433,28.611040640349433,28.404123186671693,28.49817657470703,158400,0.0,0
1994-01-13,28.42293930053711,28.47937134415168,28.3853179381274,28.42293930053711,244300,0.0,0
1994-01-14,28.516976911611437,28.59221959475553,28.516976911611437,28.53578758239746,137200,0.0,0
1994-01-17,28.53578758239746,28.573408923969506,28.47935557003939,28.53578758239746,17700,0.0,0
1994-01-18,28.573421478271484,28.611042836373223,28.516989441118874,28.573421478271484,166400,0.0,0
1994-01-19,28.535797929921163,28.573419285135298,28.44174454188583,28.49817657470703,200800,0.0,0
1994-01-20,28.535800120169743,28.592232157322353,28.516989441118874,28.573421478271484,281100,0.0,0
1994-01-21,28.611034492704043,28.611034492704043,28.498170451312706,28.51698112487793,85600,0.0,0
1994-01-24,28.498174781041428,28.629849516003336,28.40412139892578,28.40412139892578,373800,0.0,0
1994-01-25,28.42293207534891,28.44174275177204,28.34768936965639,28.40412139892578,310400,0.0,0
1994-01-26,28.404106470206298,28.498159802889102,28.36648513713318,28.47934913635254,145100,0.0,0
1994-01-27,28.53578512331578,28.780323822460872,28.498163784985767,28.74270248413086,344500,0.0,0
1994-01-28,28.855566819093866,28.91199882721465,28.81794548034668,28.81794548034668,356500,0.0,0
1994-01-31,28.93082225253191,29.08130767387148,28.89320089719702,29.02487564086914,313800,0.0,0
1994-02-01,28.987246052993623,28.987246052993623,28.83676067439275,28.87438201904297,303600,0.0,0
1994-02-02,28.96843519488585,29.062488555908203,28.949624522681376,29.062488555908203,307600,0.0,0
1994-02-03,29.006047872635104,29.006047872635104,28.836751873378482,28.930805206298828,466100,0.0,0
1994-02-04,28.930805668224913,28.968427001993735,28.272432327270508,28.272432327270508,1403200,0.0,0
1994-02-07,28.197203958271352,28.4793641046183,28.197203958271352,28.40412139892578,516400,0.0,0
1994-02-08,28.460560662946822,28.460560662946822,28.310075213307975,28.42293930053711,188200,0.0,0
1994-02-09,28.441734228467343,28.554598253183485,28.404112886895298,28.53578758239746,144600,0.0,0
1994-02-10,28.516980211785498,28.535790884748415,28.29125213623047,28.29125213623047,883900,0.0,0
